Geneid	temporary/samtools/bam_files_sorted/SRR7959211_sorted.bam
100287102	0
653635	5
102466751	0
100302278	0
645520	0
79501	0
729737	17
102725121	0
102723897	19
102465909	0
729759	0
100132287	1
105378947	0
101928626	0
102465432	2
81399	0
100133331	4
100288069	6
400728	9
79854	12
643837	91
284593	0
100130417	2
148398	11
26155	381
339451	50
84069	195
84808	56
57801	62
9636	78
375790	553
105369174	0
105378948	8
401934	28
54991	111
254099	1
406984	1
406983	6
554210	3
254173	15
8784	121
7293	19
51150	602
126792	138
388581	14
118424	269
6339	38
116983	1022
102465434	0
126789	113
54973	417
102465435	0
80772	162
83756	64
1855	533
102466740	0
54587	512
54998	244
81669	1590
148413	104
55052	326
441869	38
643965	0
102724312	5
64856	121
219293	7
83858	222
55210	112
339453	7
29101	393
643988	41
142678	460
8510	3
984	116
728661	355
8511	0
728642	40
9906	154
65220	309
2782	1535
105378949	16
163688	6
339456	5
85452	4
2563	5
5590	126
100506504	17
199990	113
105378592	24
6497	758
105378594	43
79906	109
100129534	20
11079	833
5192	120
9651	61
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	10
63976	12
100422968	0
27237	68
1953	1207
693135	0
127262	623
49856	104
7161	97
57212	201
148870	5
388588	14
57470	350
9731	290
1677	40
339448	145
100133612	1
728716	0
284661	0
55966	23
100616489	0
100616421	1
261734	233
8514	200
26038	5
6146	1268
102724450	0
388591	43
23463	925
148645	1
390992	0
387509	238
11332	157
54626	235
83715	222
100422975	0
8718	197
57449	1318
79707	394
80835	3
3104	197
9903	533
148479	136
90326	88
55735	179
100505887	0
23261	162
9341	713
8863	516
10911	1
3604	11
11315	449
54206	362
102724539	0
50651	5
473	695
102724552	6
2023	4982
102465436	2
100505975	4
765	207
155184	1
6518	20
80045	237
407040	1
9563	1792
80176	265
100506022	9
84275	19
199953	98
5293	187
644997	3
101929074	8
22883	1571
56998	2627
84328	218
64802	76
100847055	0
105376719	0
116362	80
10277	763
23095	1771
100422970	0
5226	405
100526739	0
378708	6
1325	0
1676	176
5195	75
54897	966
148345	2
23435	822
10747	66
6723	115
5394	591
2475	842
100873935	7
10218	86
29914	164
57540	1
101929181	0
26232	51
93611	194
26270	84
10459	89
374946	3
57085	152
284498	0
102724659	0
4524	449
1185	206
100379251	5
4878	1
4879	0
26829	24
90231	334
5351	339
9927	1271
60672	92
102466982	0
943	22
102465836	0
7133	275
100616438	0
55187	4236
677885	3
9249	378
102466722	0
343066	0
126767	56
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	1
10630	98
7799	571
23254	240
200197	17
55092	85
727684	13
114827	4
101927417	1
79180	236
11330	0
63036	0
51032	0
842	56
23341	313
79814	7
84301	183
6248	62
23207	581
284723	24
388595	0
54751	160
440567	54
729614	77
23013	969
7709	190
101928566	0
149563	1
27129	75
1187	7
1188	2
348487	4
1969	287
128272	187
101927546	4
79363	33
54455	633
26099	655
374955	8
55707	543
114819	127
26871	2
100126512	27
100126517	0
102724970	0
100133301	0
7195	1
55672	91
84809	116
11209	19
26869	0
729574	0
100126533	3
284729	0
100189045	0
102723383	0
6060	18
11223	3
100500876	0
100189298	1
7193	2
791226	0
9696	307
26870	1
4237	51
23400	206
6390	380
11240	227
29943	95
51702	40
100616188	0
23569	3
353238	0
55920	833
55160	926
81569	0
101927876	0
84966	12
127707	1
5081	0
80834	0
8659	201
100616120	0
100302276	0
126917	2512
23352	3825
23065	626
51154	265
246181	6
22977	25
100506730	42
8574	410
54896	91
832	658
100532736	0
440574	231
644068	14
4681	41
3362	12
255104	154
54546	0
23252	237
30814	0
5320	43
5322	6
26279	4
64600	114
391013	0
127733	52
101928017	0
127731	3
339505	0
55450	58
79594	249
163933	4
978	33
65018	206
102464833	0
100861548	64
1650	1024
57576	9
400745	1
50809	1332
8672	514
100302155	0
1889	721
100506801	26
84224	109
249	29
5909	39
84196	522
401944	24
3339	3704
23436	0
10136	0
101928043	2
29092	113
998	2161
54361	791
100616433	0
9923	561
2046	0
102466615	0
712	436
714	291
713	289
2048	34
100616391	0
100422914	0
646262	0
729059	1
23028	494
100422866	0
100616177	0
7798	553
3352	0
100996511	195
10236	1323
80818	590
148898	37
6920	504
55616	1078
1870	143
101928163	5
3399	250
259283	1
6135	6187
6924	448
100506963	9
57095	564
11313	248
2582	85
3155	193
2517	231
1269	3
100616492	0
55629	370
10772	725
127294	52
58985	329
163702	123
284632	0
57822	604
90529	70
57185	456
100750325	0
11123	285
100506985	59
400746	16
10250	579
25932	1117
864	171
102465437	0
100616365	0
25949	209
57035	660
6007	0
23585	162
6006	6
55219	272
26119	275
57134	115
57190	273
56181	220
646471	51
79000	13
164091	382
3925	278
100500808	0
5051	212
2134	19
7780	10
105376910	0
84676	37
149420	227
79927	33
105376887	0
51042	63
10256	59
378807	0
101928303	1
64793	249
83442	567
91544	98
1043	134
55057	427
257101	9
79727	2
79947	329
101928324	11
3151	281
6195	279
100302190	0
101928728	27
8289	627
55650	209
84243	230
2810	2980
54707	139
63906	97
10726	318
8431	2
126695	104
388610	69
115572	508
6548	196
23038	468
84065	171
644961	36
100887744	0
84958	662
9064	841
8547	5
388611	27
2827	3
10163	1329
27245	334
2268	68
2537	127
199870	248
23673	601
5511	315
677774	31
9473	101
6118	273
27293	9
55113	45
2140	412
5724	172
22826	285
93974	320
83667	108
54797	132
65979	424
1104	149
8420	237
6080	8612
26768	10017
54952	169
85028	160
692212	3
677838	147
677825	30
692073	27
115273	4
6883	129
26824	75
10691	110
105376911	2
51441	471
4985	0
2035	659
399474	43
6429	326
51102	187
10076	324
101928460	3
101929406	0
4146	1
100129196	21
7805	433
100616164	0
400748	0
9672	212
9698	1283
692234	0
692235	0
692200	2
79570	7
9410	368
51538	167
2170	33
347735	165
149086	1
284551	0
64129	256
3061	16
553115	523
1307	1473
576	13
100423028	0
90853	1
8073	713
10657	684
55116	76
100847018	2
23633	1266
200081	1116
79140	32
56063	112
55721	52
149069	33
8668	826
339483	78
84734	6
3932	94
3065	383
65108	107
100128071	8
81629	55
55108	774
728116	0
653121	114
339487	112
5928	707
81493	45
57648	882
8565	331
64766	279
252995	28
3208	4
113452	231
127544	310
204	848
113451	63
55223	141
149076	237
127550	0
1912	401
100500853	2
101929464	1
7579	98
114784	20
127540	0
402779	0
84970	0
693137	0
2709	614
127534	509
2707	1020
2701	46
113444	344
58512	5
653160	24
100506144	74
9204	295
79830	222
6421	1685
9202	556
79932	515
23154	160
339488	35
5690	532
127703	166
63967	25
192670	688
26523	645
192669	452
27285	3
54936	186
1296	342
27095	456
55700	433
9967	1044
79729	230
55194	137
83931	380
84967	58
127700	55
64960	185
1441	16
2899	38
100422898	0
728431	46
80149	231
102465438	1
64769	439
100847010	2
79753	243
7802	42
29889	284
284654	135
54955	155
55143	50
284656	4
149175	43
79693	116
127687	106
4520	255
3633	348
10946	446
2275	50
51118	134
5453	167
100500801	3
339442	10
64121	318
100527950	4
26292	1
81025	0
54933	132
79647	318
4725	622
23499	9681
643314	340
105378950	21
353500	79
728448	71
8761	359
101929516	12
677834	6
26508	53
84618	0
51440	4
10450	298
656	54
64064	0
105378951	1
101929536	4
54802	254
4610	379
84879	525
10487	1726
5538	850
6018	561
127391	0
10269	590
1298	71
64744	358
65243	3
339559	51
64789	62
127396	34
9783	128
100130557	27
4802	347
407034	1
407031	0
9132	29
163732	80
1503	190
100507178	41
200172	41
22955	218
100132074	15
1907	9
59269	420
2981	0
2980	0
22887	592
284716	18
84217	4
79717	346
728621	30
10465	134
4904	1133
149461	2
64175	201
79078	62
100129924	1
374969	48
114625	113
51058	68
339539	1
6513	1682
440584	25
105378684	20
440585	34
10969	190
102465439	1
149465	44
128218	111
149466	81
7075	158
4352	12
991	75
64834	1777
102466723	0
112950	246
23334	1000
102465440	0
81888	5
5792	3466
9682	662
100132774	22
6487	65
101929592	2
102464830	1
9048	4
9670	265
1802	164
533	495
8704	288
149473	53
6536	501
128209	0
105378952	0
55929	144
79033	274
100874278	19
55182	420
100847089	0
79639	26
339541	9
26828	3
26830	6
11004	95
6202	7052
26811	18
94161	16
94162	10
94163	4
266675	10
1263	250
343521	31
149478	62
8643	41
8891	205
79654	384
7389	310
57643	40
400752	12
84842	14
4595	108
114034	73
10420	141
126661	8
25974	98
5052	1791
10327	483
4678	256
149483	49
60313	1287
728963	15
51249	136
3652	170
23139	327
8503	159
101929626	0
10103	56
55624	402
541468	31
8438	32
10489	600
7388	539
387338	231
2166	138
729041	1
101929651	0
127343	0
100507423	22
148930	0
8569	225
148932	212
64756	158
374973	1
100130197	6
9813	1126
1580	384
163720	28
1579	39
260293	84
199974	12
284541	13
100874253	2
10158	289
6886	68
6491	59
51727	1112
102724077	9
2301	1
84793	4
2306	11
388630	66
391037	4
200010	55
54558	219
84871	20
79656	23
101929721	0
100874313	2
1996	7
63950	0
11124	531
1031	124
100616189	0
102466656	0
284546	0
26994	803
22996	137
102724097	1
2060	1426
114883	457
4898	1532
100313892	0
5865	456
51060	262
112970	0
104355143	1
91408	439
9372	496
200014	451
4998	38
84950	277
23318	465
105378722	0
2882	36
348378	3
65260	87
79699	756
440590	5
55268	648
6342	747
100616156	0
100616458	0
100616145	0
127435	433
6512	21
1376	128
54987	129
4116	103
100507564	2
7804	86
163742	0
63948	0
148979	12
105369175	2
55706	325
54432	251
1733	12
51668	80
115353	134
388633	0
9528	1704
127428	126
100616315	0
200008	1
606495	69
51253	417
23648	131
619518	42
26027	76
338094	5
374977	3
100527960	0
7268	3
25973	70
55001	283
163747	31
1718	5285
100126514	0
199964	15
7809	0
255738	8
23358	1430
100507634	5
100616272	0
8613	1584
5563	63
199920	3
731	0
732	0
1600	1
101926890	0
115209	296
4070	3383
114803	570
3725	379
100131060	4
101926925	1
729467	1
55277	167
100616409	0
101926944	3
51361	374
1573	131
127795	2
101926964	3
100996570	2
4774	1169
645030	10
414927	2
83941	176
10207	1154
100422902	0
100422946	0
54596	1
163782	16
7398	391
85440	565
27329	23
84938	91
199899	2
100996301	2
27022	6
102464823	0
29929	209
23421	87
84455	108
79469	17
5236	336
4919	150
101927034	15
148581	3
57685	364
100616338	0
55225	230
3716	2140
101927084	31
105378775	60
100500854	6
406893	0
205	328
9829	53
54741	823
3953	2588
5142	211
101927139	5
84251	40
100422871	0
200132	7
10022	0
79819	56
57708	492
23169	490
400757	0
149233	0
3595	49
26135	1955
1647	89
55970	2685
100289178	31
9077	65
79971	1061
100302279	3
6121	2
55635	34
101927220	0
57554	17
5301	0
55631	176
9295	1492
81573	531
11147	10
1491	26
101927244	0
5733	734
100132618	21
9406	566
406962	15
100852410	2
257194	222
100852409	0
101927295	0
127255	4
100526835	0
8790	238
51086	1
105378804	2
105378803	0
127254	9
101927320	0
1429	220
127253	130
431707	0
204962	18
34	217
1744	32
5876	307
692085	7
26805	10
26804	10
4438	11
127247	0
101927342	0
256435	25
81849	26
102466995	0
10026	248
26289	25
26009	551
23032	665
374986	277
374987	5
91624	162
8880	572
11080	270
54810	161
149047	1
5737	397
10964	131
10561	65
64123	115
101927412	0
23266	641
101927434	0
101927498	1
101927587	16
101927560	27
79739	54
5567	265
148418	8
391051	0
58511	0
80135	239
2787	224
100505741	48
1486	237
103695366	0
439927	0
117178	191
23566	137
255231	119
55283	223
126820	30
100616481	0
84144	105
148423	163
8915	223
646626	0
23576	152
3491	71
54680	203
255631	43
57489	181
102465842	0
9635	1407
1179	0
22802	298
9629	7
105378828	17
51100	1265
9403	569
9653	315
339524	37
101927844	0
105378832	1
8543	551
100505768	8
101927891	2
5586	657
2959	225
56267	227
494115	263
2635	121
2633	185
2634	647
388646	2
115361	162
115362	56
729930	0
163351	34
400759	4
23507	478
84230	378
400761	12
55144	153
105378846	16
492303	6
284695	172
